iteration,avg_mee,std_mee,params
1,21.9840,0.6010,"{'learning_rate': 0.01844514398645587, 'l2_lambda': 0.08122480876336267, 'batch_size': 32, 'hidden_layers': [30], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': 0.8098581966900583, 'use_batch_norm': False, 'dropout_rate': 0.16727915014040604, 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
2,27.4437,1.9295,"{'learning_rate': 0.001179776864514531, 'l2_lambda': 0.04447791509691298, 'batch_size': 32, 'hidden_layers': [20, 10], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': 0.85090128854339, 'use_batch_norm': True, 'dropout_rate': 0.07364663772857896, 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
3,23.3301,0.9573,"{'learning_rate': 0.00011871802380174172, 'l2_lambda': 0.0013136081191077154, 'batch_size': 32, 'hidden_layers': [30], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': 0.8891338665057493, 'use_batch_norm': True, 'dropout_rate': 0.09337869841799733, 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
