iteration,avg_mee,std_mee,params
25,22.0537,1.3673,"{'learning_rate': np.float64(0.00021314754334576276), 'l2_lambda': np.float64(0.04229412335405416), 'batch_size': 32, 'hidden_layers': [30, 15], 'hidden_activation': 'elu', 'optimizer': 'sgd', 'momentum': np.float64(0.9210323592088927), 'use_batch_norm': False, 'dropout_rate': np.float64(0.09030945478104432), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
4,22.1344,0.7645,"{'learning_rate': np.float64(0.040157131197112485), 'l2_lambda': np.float64(0.00017225641578516698), 'batch_size': 32, 'hidden_layers': [20, 10], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.8448938755802435), 'use_batch_norm': False, 'dropout_rate': np.float64(0.18166714282725877), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
6,22.4223,1.3788,"{'learning_rate': np.float64(0.000257416405246597), 'l2_lambda': np.float64(0.0007356288206795523), 'batch_size': 16, 'hidden_layers': [20], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': np.float64(0.8569146201570219), 'use_batch_norm': False, 'dropout_rate': np.float64(0.16771966406423014), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
40,22.5029,1.0417,"{'learning_rate': np.float64(0.000711619735931915), 'l2_lambda': np.float64(0.0001230041177873446), 'batch_size': 32, 'hidden_layers': [40], 'hidden_activation': 'elu', 'optimizer': 'sgd', 'momentum': np.float64(0.8195109140338196), 'use_batch_norm': False, 'dropout_rate': np.float64(0.14643668653829917), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
31,22.5333,1.0361,"{'learning_rate': np.float64(0.0024344802329271218), 'l2_lambda': np.float64(0.04757762884788436), 'batch_size': 16, 'hidden_layers': [64, 32], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.961389548640408), 'use_batch_norm': False, 'dropout_rate': np.float64(0.2036451789526639), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
42,22.9373,0.7905,"{'learning_rate': np.float64(0.0004889267913996573), 'l2_lambda': np.float64(0.001932229869434816), 'batch_size': 32, 'hidden_layers': [64], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.8941952271529658), 'use_batch_norm': False, 'dropout_rate': np.float64(0.1526758497201106), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
49,22.9804,1.2381,"{'learning_rate': np.float64(0.0010465777848496513), 'l2_lambda': np.float64(0.0005188535735561763), 'batch_size': 32, 'hidden_layers': [20, 10], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': np.float64(0.8589931772118912), 'use_batch_norm': False, 'dropout_rate': np.float64(0.10408337746867373), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
5,23.0901,0.7851,"{'learning_rate': np.float64(0.0008761611832583724), 'l2_lambda': np.float64(0.01913043891901608), 'batch_size': 32, 'hidden_layers': [30, 15], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.8027089572195661), 'use_batch_norm': True, 'dropout_rate': np.float64(0.11254410701893326), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
32,23.1612,0.3170,"{'learning_rate': np.float64(0.0008613275316943896), 'l2_lambda': np.float64(5.2185457078584254e-05), 'batch_size': 16, 'hidden_layers': [30], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.8210437405916284), 'use_batch_norm': True, 'dropout_rate': np.float64(0.2833691614710896), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
3,23.2120,0.8614,"{'learning_rate': np.float64(0.0015366609312375513), 'l2_lambda': np.float64(2.096762221232129e-05), 'batch_size': 32, 'hidden_layers': [30, 15], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.8766692289297784), 'use_batch_norm': True, 'dropout_rate': np.float64(0.09654442932662893), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
