iteration,avg_mee,std_mee,params
13,20.5003,0.5582,"{'learning_rate': 0.0042898710379405585, 'l2_lambda': 0.00018889544907190443, 'batch_size': 64, 'hidden_layers': [512, 256, 128], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9519646682284818}"
14,20.2255,0.6413,"{'learning_rate': 0.06828129873027926, 'l2_lambda': 2.297702434890957e-05, 'batch_size': 256, 'hidden_layers': [128, 128, 64, 32], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9365691957259408}"
50,19.9915,1.1505,"{'learning_rate': 0.012860550963438567, 'l2_lambda': 0.0001494480934993884, 'batch_size': 32, 'hidden_layers': [512, 256, 128, 64], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8594074387568671}"
51,34.1806,2.4864,"{'learning_rate': 0.08377210212910055, 'l2_lambda': 0.0002916284359261524, 'batch_size': 256, 'hidden_layers': [256, 256, 128, 64], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8629124387276551}"
52,20.9650,0.3524,"{'learning_rate': 0.0008050009030152047, 'l2_lambda': 1.754979068739219e-07, 'batch_size': 256, 'hidden_layers': [128, 64, 32], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'adam', 'momentum': 0.9622098706791948}"
15,21.5687,0.5064,"{'learning_rate': 0.00018411715374894085, 'l2_lambda': 6.389403329111418e-07, 'batch_size': 32, 'hidden_layers': [512, 256], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9584309147023887}"
16,27.4469,0.7918,"{'learning_rate': 0.0567973871422539, 'l2_lambda': 0.002912756578726532, 'batch_size': 16, 'hidden_layers': [256, 128], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'adam', 'momentum': 0.8566953673462329}"
17,21.5059,0.5615,"{'learning_rate': 0.016037385540853533, 'l2_lambda': 0.0002059271015384649, 'batch_size': 16, 'hidden_layers': [512], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'adam', 'momentum': 0.9718371897115279}"
18,21.9347,0.5543,"{'learning_rate': 0.00018920303703143286, 'l2_lambda': 0.005149101137934441, 'batch_size': 64, 'hidden_layers': [512], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9464111495872446}"
19,20.8513,1.0043,"{'learning_rate': 0.062304797798665, 'l2_lambda': 1.0359296514927805e-07, 'batch_size': 256, 'hidden_layers': [512, 256], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9822379081127406}"
