Model,MEE,Std,Type
"NN Ensemble (10x, Ours)",13.639594675402723,0.6953617360690462,From Scratch
"NN (Single, Ours)",14.743003019029539,0.8309434566339415,From Scratch
k-NN (k=5),15.35231172487239,0.6363907441405365,Library
SVR (C=10.0),19.6331102552205,1.3337232359958584,Library
Ridge (α=10.0),23.30863481885799,0.46217948863461883,Library
