problem,model,acc_train,acc_test,mse_train,mse_test,time
monks-1,V1 (Full Batch),1.0,0.9444444444444444,0.030034683190560633,0.06357532329709678,0.0449831485748291
monks-1,V2 (Mini-batch),1.0,0.9976851851851852,0.0003098741568728904,0.003901135723004171,0.4152369499206543
monks-2,V1 (Full Batch),1.0,1.0,0.02251722462125512,0.027774156457422004,0.04635810852050781
monks-2,V2 (Mini-batch),1.0,1.0,0.000199891006559381,0.00025085532822399775,0.5431454181671143
monks-3,V1 (Full Batch),0.9426229508196722,0.9583333333333334,0.048162607192499554,0.044774278043726974,0.039768218994140625
monks-3,V2 (Mini-batch),0.9754098360655737,0.9444444444444444,0.03544619865971167,0.046980800002055706,0.38802075386047363
